nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.538194444444444420e+00 2.658333333333333215e+00 3.256944444444444642e+00 3.630555555555555980e+00 4.004861111111110539e+00 4.033333333333333215e+00 4.104861111111111072e+00 4.104861111111111072e+00 3.986805555555555713e+00 3.757638888888889195e+00 3.574305555555555625e+00 3.280555555555555447e+00 2.764583333333332948e+00 1.647916666666666474e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan 9.062500000000000000e-01 3.915972222222222410e+00 5.494444444444444464e+00 6.661805555555555536e+00 7.529166666666665897e+00 8.398611111111110361e+00 9.116666666666667140e+00 9.937500000000000000e+00 1.031319444444444500e+01 1.065208333333333357e+01 1.121597222222222179e+01 1.133402777777777715e+01 1.153333333333333321e+01 1.183194444444444393e+01 1.213333333333333286e+01 1.242291666666666572e+01 1.256527777777777821e+01 1.259583333333333321e+01 1.257708333333333428e+01 1.254583333333333428e+01 1.258124999999999893e+01 1.247291666666666821e+01 1.250069444444444322e+01 1.231666666666666821e+01 1.207430555555555607e+01 1.194930555555555607e+01 1.152361111111111036e+01 1.129236111111111107e+01 1.084375000000000000e+01 1.038194444444444464e+01 9.849999999999999645e+00 9.313888888888888218e+00 8.788888888888889639e+00 7.811805555555555003e+00 6.918750000000000178e+00 5.747916666666665897e+00 4.091666666666666785e+00 9.409722222222222099e-01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan 6.020833333333333037e-01 4.963194444444444464e+00 6.994444444444444464e+00 8.559027777777776791e+00 9.666666666666666075e+00 1.072499999999999964e+01 1.175347222222222143e+01 1.250902777777777608e+01 1.326944444444444393e+01 1.396319444444444535e+01 1.445416666666666572e+01 1.499097222222222392e+01 1.544513888888888964e+01 1.583402777777777715e+01 1.613680555555555785e+01 1.644305555555555642e+01 1.667500000000000071e+01 1.698611111111111072e+01 1.736111111111111072e+01 1.739652777777777715e+01 1.755833333333333357e+01 1.763472222222222285e+01 1.771319444444444358e+01 1.773472222222222072e+01 1.766458333333333286e+01 1.772638888888888786e+01 1.738055555555555642e+01 1.734791666666666643e+01 1.730347222222222214e+01 1.704861111111111072e+01 1.703611111111111143e+01 1.672013888888888999e+01 1.653958333333333286e+01 1.631458333333333499e+01 1.589722222222222392e+01 1.566180555555555465e+01 1.502638888888888857e+01 1.463194444444444464e+01 1.416805555555555607e+01 1.357777777777777750e+01 1.272499999999999964e+01 1.214305555555555571e+01 1.117847222222222392e+01 1.017916666666666714e+01 8.814583333333333215e+00 7.545833333333333393e+00 5.386111111111111960e+00 6.069444444444443976e-01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan 3.615972222222222143e+00 6.806249999999999467e+00 8.947222222222221077e+00 1.071597222222222179e+01 1.191527777777777608e+01 1.326597222222222250e+01 1.430416666666666714e+01 1.515416666666666679e+01 1.595000000000000107e+01 1.664930555555555358e+01 1.729791666666666572e+01 1.794722222222222285e+01 1.848888888888889070e+01 1.899444444444444358e+01 1.923680555555555571e+01 1.979791666666666572e+01 1.992500000000000071e+01 2.033055555555555571e+01 2.041944444444444429e+01 2.073194444444444429e+01 2.087361111111111001e+01 2.102013888888889070e+01 2.117638888888889070e+01 2.139375000000000071e+01 2.135277777777777786e+01 2.142430555555555216e+01 2.162638888888888644e+01 2.162569444444444500e+01 2.149444444444444358e+01 2.176041666666666785e+01 2.168611111111111356e+01 2.167500000000000071e+01 2.131458333333333499e+01 2.127708333333333357e+01 2.109930555555555642e+01 2.084097222222222356e+01 2.050069444444444500e+01 2.024236111111111214e+01 1.996458333333333357e+01 1.966180555555555642e+01 1.901736111111111072e+01 1.885486111111110930e+01 1.821180555555555358e+01 1.776875000000000071e+01 1.742569444444444215e+01 1.656250000000000000e+01 1.566805555555555607e+01 1.479097222222222285e+01 1.374513888888888857e+01 1.251527777777777750e+01 1.122708333333333286e+01 9.470138888888888218e+00 7.237499999999999822e+00 3.668749999999999734e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan 6.797222222222221610e+00 9.517361111111110716e+00 1.178749999999999964e+01 1.372638888888888964e+01 1.483680555555555536e+01 1.619305555555555642e+01 1.741388888888888786e+01 1.818125000000000213e+01 1.905833333333333357e+01 1.992708333333333215e+01 2.058611111111111214e+01 2.105347222222222214e+01 2.140694444444444500e+01 2.191527777777777786e+01 2.224375000000000213e+01 2.270138888888888928e+01 2.312777777777777999e+01 2.339513888888889070e+01 2.357916666666666572e+01 2.402500000000000213e+01 2.401805555555555216e+01 2.433680555555555713e+01 2.425833333333333641e+01 2.438263888888888786e+01 2.469236111111111143e+01 2.461736111111111214e+01 2.471736111111111356e+01 2.473402777777777928e+01 2.487291666666666856e+01 2.501597222222222072e+01 2.490069444444444358e+01 2.505138888888889070e+01 2.487152777777777501e+01 2.477986111111111356e+01 2.451805555555555216e+01 2.450138888888888644e+01 2.432291666666666785e+01 2.418958333333333144e+01 2.427152777777777715e+01 2.401666666666666572e+01 2.389097222222222072e+01 2.369999999999999929e+01 2.331736111111111143e+01 2.312013888888888857e+01 2.264861111111111214e+01 2.222499999999999787e+01 2.194444444444444287e+01 2.140138888888888857e+01 2.058541666666666714e+01 1.981111111111111001e+01 1.898680555555555571e+01 1.780277777777777715e+01 1.689305555555555571e+01 1.559305555555555678e+01 1.411458333333333393e+01 1.223194444444444429e+01 1.002569444444444535e+01 7.031944444444444997e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
1.194930555555555607e+01 1.436597222222222392e+01 1.637638888888888999e+01 1.793402777777777857e+01 1.959027777777777857e+01 2.061319444444444215e+01 2.191180555555555642e+01 2.259791666666666643e+01 2.310833333333333428e+01 2.403680555555555642e+01 2.462083333333333357e+01 2.471041666666666359e+01 2.492222222222222072e+01 2.549027777777777715e+01 2.568472222222222001e+01 2.590069444444444358e+01 2.618680555555555500e+01 2.654097222222222285e+01 2.670486111111111072e+01 2.678333333333333144e+01 2.700277777777777999e+01 2.718055555555555713e+01 2.723888888888889070e+01 2.748819444444444571e+01 2.737569444444444500e+01 2.755763888888888857e+01 2.748402777777777928e+01 2.767777777777777715e+01 2.772361111111111143e+01 2.763611111111110930e+01 2.752847222222222001e+01 2.769791666666666785e+01 2.765486111111111356e+01 2.766388888888888786e+01 2.760624999999999929e+01 2.797569444444444287e+01 2.758194444444444571e+01 2.753125000000000000e+01 2.758194444444444571e+01 2.748333333333333428e+01 2.759444444444444500e+01 2.765486111111111356e+01 2.738194444444444287e+01 2.709027777777777501e+01 2.665763888888888644e+01 2.674097222222222214e+01 2.642430555555555216e+01 2.579097222222222285e+01 2.539722222222222214e+01 2.491597222222222285e+01 2.416597222222222285e+01 2.319513888888888786e+01 2.235833333333333428e+01 2.136527777777777715e+01 2.019305555555555642e+01 1.883958333333333357e+01 1.757083333333333286e+01 1.595833333333333393e+01 1.384583333333333321e+01 1.165069444444444535e+01 8.748611111111111782e+00 3.591666666666666785e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.547222222222222499e+00 8.802777777777778923e+00
1.956597222222222143e+01 2.149375000000000213e+01 2.312916666666666643e+01 2.469861111111110930e+01 2.578402777777777999e+01 2.641944444444444784e+01 2.756111111111111356e+01 2.805208333333333215e+01 2.865138888888888857e+01 2.926319444444444784e+01 2.939861111111111214e+01 2.997222222222222499e+01 2.989791666666666359e+01 2.978680555555555642e+01 3.011111111111111072e+01 2.998680555555555216e+01 3.010833333333333428e+01 2.966597222222222285e+01 2.945277777777777928e+01 2.967916666666666359e+01 2.974236111111111214e+01 3.000486111111111143e+01 3.000277777777777999e+01 3.007986111111111072e+01 3.003402777777777999e+01 2.993472222222222001e+01 3.018263888888888857e+01 3.016666666666666785e+01 3.001458333333333428e+01 3.036736111111111214e+01 3.058402777777777715e+01 3.035277777777777786e+01 3.039513888888889070e+01 3.057638888888888928e+01 3.057986111111111072e+01 3.067638888888889070e+01 3.081527777777777999e+01 3.131041666666666856e+01 3.115138888888888857e+01 3.102638888888888857e+01 3.126666666666666572e+01 3.105208333333333215e+01 3.096388888888888857e+01 3.095833333333333215e+01 3.054444444444444784e+01 3.013263888888888786e+01 3.015486111111111356e+01 2.959305555555555500e+01 2.921527777777777501e+01 2.853194444444444500e+01 2.791458333333333641e+01 2.737013888888888857e+01 2.673472222222222072e+01 2.562083333333333357e+01 2.474861111111111356e+01 2.411458333333333215e+01 2.306041666666666856e+01 2.164861111111111214e+01 2.018263888888888857e+01 1.804861111111111072e+01 1.588263888888888964e+01 1.319097222222222143e+01 9.904166666666666785e+00 4.112499999999999822e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.444444444444444642e+00 1.080625000000000036e+01 1.448402777777777750e+01 1.724236111111111214e+01
2.687430555555555500e+01 2.829513888888888928e+01 2.980416666666666359e+01 3.076458333333333428e+01 3.174166666666666359e+01 3.231944444444444287e+01 3.292777777777777715e+01 3.380833333333333002e+01 3.406458333333333144e+01 3.464930555555555713e+01 3.443611111111111001e+01 3.476527777777777573e+01 3.456805555555555287e+01 3.439652777777777715e+01 3.404097222222222285e+01 3.438541666666666430e+01 3.378333333333333144e+01 3.346111111111111569e+01 3.331944444444444287e+01 3.290555555555555856e+01 3.240277777777777857e+01 3.227569444444444713e+01 3.199097222222222214e+01 3.249513888888888857e+01 3.244930555555555429e+01 3.240486111111111001e+01 3.250000000000000000e+01 3.211180555555555571e+01 3.232430555555555429e+01 3.241736111111111285e+01 3.245069444444444429e+01 3.289791666666666714e+01 3.292847222222221859e+01 3.291874999999999574e+01 3.326249999999999574e+01 3.337916666666666998e+01 3.367291666666666572e+01 3.367847222222221859e+01 3.409722222222222143e+01 3.449930555555555856e+01 3.464999999999999858e+01 3.513194444444444287e+01 3.483888888888888857e+01 3.510833333333333428e+01 3.466944444444444429e+01 3.458749999999999858e+01 3.429930555555555571e+01 3.415486111111111001e+01 3.372222222222222143e+01 3.328055555555555856e+01 3.295833333333333570e+01 3.234513888888888999e+01 3.167847222222222214e+01 3.145138888888888928e+01 3.039722222222222214e+01 2.968263888888888857e+01 2.909305555555555500e+01 2.781666666666666643e+01 2.681805555555555642e+01 2.508194444444444571e+01 2.350624999999999787e+01 2.126666666666666572e+01 1.883680555555555358e+01 1.582638888888888751e+01 1.150833333333333286e+01 3.320138888888889195e+00 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.240972222222222143e+00 1.248263888888888751e+01 1.713611111111110930e+01 2.026527777777777928e+01 2.262152777777777501e+01 2.500347222222222499e+01
